ID,TYPE,BRAND_PRIMARYNAME,CATEGORY_SUBNAME,CODE,PRODUCTNAME,PACKSIZENAME,QTY,MRP
67CB813B-6FB2-4154-A687-F1BE36A0D6EC,RM,Raw Material,Back Cowl,RMBCW0.75327,CRCA SHEET 0.75 X 327 X 645,KG,100,10
8099BE46-F105-49BA-AA41-AD7C54DDA99C,WP,Semi Finish Goods,Blade Leaf,WPBLEAN150MM,CRCA BLADE LEAF ANMOL150MM,PCS,0,0
CEAD6ED2-93C9-4039-BFA8-05A08F9D89E8,WP,Semi Finish Goods,Blade Leaf,WPBLEPOF230MM,CRCA BLADE LEAF POWER FLOW 230MM,PCS,0,0
1B806EA5-1A11-4825-BFBA-5403B2501CD1,WP,Semi Finish Goods,Blade Leaf,WPBLEPOF300MM,CRCA BLADE LEAF POWER FLOW 300MM,PCS,0,0
EAA54E5C-AFF0-402B-98BB-B2E4AFAF0FA6,WP,Semi Finish Goods,Craca Back Cover,WPCBC00,CRCA BACK COVER CHINA,PCS,0,0
A62E6710-A66C-42E9-9630-086EA039F3C0,WP,Semi Finish Goods,Craca Back Cover,WPCBCDE00,CRCA BACK COVER DELUXE,PCS,0,0
FF0A2948-A63A-43B1-8E37-82E4A32F4C7B,WP,Semi Finish Goods,Craca Back Cover,WPCBCDS00,CRCA BACK COVER HAVELLS DS,PCS,0,0
1E63940B-16EB-453B-9DC8-3DFA58B9EF90,WP,Semi Finish Goods,Crc Back Cowl,WPCBADE00,CRCA BACK COWL DELUXE,PCS,0,0
AEF39129-4750-4CD6-96E1-9B599B3EF94B,WP,Semi Finish Goods,Crc Back Cowl,WPCBAHADS00,CRCA BACK COWL HAVELLS DS,PCS,0,0
2E336D7F-957D-45A9-AFB1-CEF78349EE16,WP,Semi Finish Goods,Crc Back Cowl,WPCBALU00,CRCA BACK COWL LUMINOUS,PCS,0,0
65D1F0D7-DACA-4AFC-84ED-6689FE45408A,WP,Semi Finish Goods,Crc Back Cowl,WPCBAPOF00,CRCA BACK COWL POWER FLOW,PCS,0,0
338698B0-BE1C-4233-AAFE-C74F75572D54,WP,Semi Finish Goods,Crca Back Guard,WPCBG00,CRCA BACK GUARD,PCS,0,0
D433E1D2-4751-44F1-B6B6-B8713C117D36,WP,Semi Finish Goods,Crca Base Plate,WPCBPANFF00,CRCA BASE FARATA FAN ANCHOR,PCS,0,0
3902DAA6-040E-493C-B575-F736B694E3D1,WP,Semi Finish Goods,Crca Base Plate,WPCBPHAFF00,CRCA BASE FARATA FAN HAVELLS,PCS,0,0
559ECB6B-5640-4F11-BA22-A2F6CD2F344B,WP,Semi Finish Goods,Crca Base Plate,WPCBPANMI00,CRCA BASE PLATE ANCHOR MINEO,PCS,0,0
C8A731AE-F95F-4270-A84F-9A9524B24118,WP,Semi Finish Goods,Crca Base Plate,WPCBPHABF00,CRCA BASE PLATE HAVELLS BIRDIE,PCS,0,0
10470454-91FF-4365-A716-D0A186977558,WP,Semi Finish Goods,Crca Base Plate,WPCBPLUBU00,CRCA BASE PLATE LUMINOUS BUDDY,PCS,0,0
8F846D8E-5C91-4261-B142-B8BCD58B0C38,WP,Semi Finish Goods,Crca Base Plate,WPCBPORZF00,CRCA BASE PLATE ORIENT ZIPPY,PCS,0,0
E0F99785-F6C4-45F4-9070-02E414C9C2D0,WP,Semi Finish Goods,Crca Base Plate,WPCBPPOSTO00,CRCA BASE PLATE POLAR STORMY,PCS,0,0
D3259FDF-165E-420D-A9EF-61CE706824BC,WP,Semi Finish Goods,Crca Base Plate,WPCBPSL00,CRCA BASE PLATE SELFEE / STORMY,PCS,0,0
E86E1F53-0324-4E86-9AE8-8D2A15300742,WP,Semi Finish Goods,Crca Base Plate,WPCBPSTPF00,CRCA BASE PLATE STANDARD PLUTO,PCS,0,0
160A84C3-6832-4A99-9A85-3076A238E962,WP,Semi Finish Goods,Crca Base Plate,WPCBPSUWF00,CRCA BASE PLATE SURYA / VANSAL / ORTEM / ORKUS,PCS,0,0
D52914D7-7191-4FA2-A574-C6CF712F04AA,WP,Semi Finish Goods,Crca Base Plate,WPCBPVGSL00,CRCA BASE PLATE V-GUARD SELFEE,PCS,0,0
A9464C2D-50E8-4FD0-B203-1F921C6C1061,WP,Semi Finish Goods,Crca Base Plate,WPCBPWF00,CRCA BASE PLATE WINDY,PCS,0,0
76C2D5ED-CE93-4E91-AD05-3DF280FF7315,WP,Semi Finish Goods,Crca Base Plate,WPCBPOKWAF000,ORKUS WALL FAN  BASE PLATE,PCS,0,0
6E11879C-4908-4B0F-890C-BC170A07E299,WP,Semi Finish Goods,Crca Frame,WPCFAN150MM,CRCA FRAME ANMOL 150MM,PCS,0,0
7B9DC254-37B7-4A9B-B309-28054E09EC31,WP,Semi Finish Goods,Crca Frame,WPCFDE230MM,CRCA FRAME DELUXE 230MM,PCS,0,0
4D5504A3-73B5-4A56-ADDD-FFE2FCFFB27F,WP,Semi Finish Goods,Crca Frame,WPCFDE300MM,CRCA FRAME DELUXE 300MM,PCS,0,0
B653652A-C76B-4F1C-ADDD-0D383F647DBD,WP,Semi Finish Goods,Crca Frame,WPCFHADS230MM,CRCA FRAME HAVELLS DS 230MM,PCS,0,0
1D991B58-2336-463A-92FC-D10D5E2E2123,WP,Semi Finish Goods,Crca Frame,WPCFHADS300MM,CRCA FRAME HAVELLS DS 300MM,PCS,0,0
F8A0E4E5-087A-4035-9B1F-AE87DBD9B383,WP,Semi Finish Goods,Crca Frame,WPCFPOF230MM,CRCA POWER FLOW FRAME 230MM,PCS,0,0
